Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
transporter activity,GO:0005215,COVID-19,MESH:D000086382,,ATP11A,1
monocyte extravasation,GO:0035696,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,GO:1902231,COVID-19,MESH:D000086382,,PLSCR1,1
helper T cell extravasation,GO:0035684,COVID-19,MESH:D000086382,,CCL2,1
blood circulation,GO:0008015,COVID-19,MESH:D000086382,,CXCL10,1
establishment of blood-nerve barrier,GO:0008065,COVID-19,MESH:D000086382,,AGT,1
vascular associated smooth muscle cell proliferation,GO:1990874,COVID-19,MESH:D000086382,,AGT,1
response to stilbenoid,GO:0035634,COVID-19,MESH:D000086382,,IL1B,1
negative regulation of glial cell apoptotic process,GO:0034351,COVID-19,MESH:D000086382,,CCL2,1
low-density lipoprotein particle remodeling,GO:0034374,COVID-19,MESH:D000086382,,AGT,1
branching involved in labyrinthine layer morphogenesis,GO:0060670,COVID-19,MESH:D000086382,,IL10,2
regulation of branching involved in salivary gland morphogenesis,GO:0060693,COVID-19,MESH:D000086382,,TNF,1
CCR5 chemokine receptor binding,GO:0031730,COVID-19,MESH:D000086382,,CCL3,1
galactoside 2-alpha-L-fucosyltransferase activity,GO:0008107,COVID-19,MESH:D000086382,,FUT2,1
brush border membrane,GO:0031526,COVID-19,MESH:D000086382,,ACE2,15
negative regulation of gap junction assembly,GO:1903597,COVID-19,MESH:D000086382,,IL1B,1
cornified envelope assembly,GO:1903575,COVID-19,MESH:D000086382,,UGCG,1
negative regulation of protein localization to ciliary membrane,GO:1903568,COVID-19,MESH:D000086382,,LZTFL1,2
negative regulation of protein localization to cilium,GO:1903565,COVID-19,MESH:D000086382,,LZTFL1,2
positive regulation of cell-cell adhesion,GO:0022409,COVID-19,MESH:D000086382,,CCL2,1
ceramide glucosyltransferase activity,GO:0008120,COVID-19,MESH:D000086382,,UGCG,1
regulation of astrocyte activation,GO:0061888,COVID-19,MESH:D000086382,,IL6,4
negative regulation of heart rate,GO:0010459,COVID-19,MESH:D000086382,,TNF,1
negative regulation by host of viral transcription,GO:0043922,COVID-19,MESH:D000086382,,CCL3,1
specific granule membrane,GO:0035579,COVID-19,MESH:D000086382,,ATP11A,1
biological_process,GO:0008150,COVID-19,MESH:D000086382,,TMEM106B,1
negative regulation of myosin-light-chain-phosphatase activity,GO:0035509,COVID-19,MESH:D000086382,,TNF,1
positive regulation of myosin light chain kinase activity,GO:0035505,COVID-19,MESH:D000086382,,IL1B,1
regulation of ribonuclease activity,GO:0060700,COVID-19,MESH:D000086382,,OAS1,1
positive regulation of JUN kinase activity,GO:0043507,COVID-19,MESH:D000086382,,TNF,1
regulation of receptor signaling pathway via JAK-STAT,GO:0046425,COVID-19,MESH:D000086382,,IFNAR2,1
response to carbon monoxide,GO:0034465,COVID-19,MESH:D000086382,,IL10,2
leukocyte adhesion to vascular endothelial cell,GO:0061756,COVID-19,MESH:D000086382,,CCR2,1
glycosphingolipid catabolic process,GO:0046479,COVID-19,MESH:D000086382,,UGCG,1
late endosome membrane,GO:0031902,COVID-19,MESH:D000086382,,TMEM106B,1
positive regulation of activation of Janus kinase activity,GO:0010536,COVID-19,MESH:D000086382,,AGT,1
negative regulation of blood vessel endothelial cell migration,GO:0043537,COVID-19,MESH:D000086382,,TNF,1
opsonization,GO:0008228,COVID-19,MESH:D000086382,,CRP,1
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903377,COVID-19,MESH:D000086382,,IL10,2
negative regulation of bicellular tight junction assembly,GO:1903347,COVID-19,MESH:D000086382,,TNF,1
metallopeptidase activity,GO:0008237,COVID-19,MESH:D000086382,,ACE2,15
peptidyl-dipeptidase activity,GO:0008241,COVID-19,MESH:D000086382,,ACE2,15
head involution,GO:0008258,COVID-19,MESH:D000086382,,BTK,1
intracellular anatomical structure,GO:0005622,COVID-19,MESH:D000086382,,TNF,1
necroptotic signaling pathway,GO:0097527,COVID-19,MESH:D000086382,,TNF,1
JAK pathway signal transduction adaptor activity,GO:0008269,COVID-19,MESH:D000086382,,IFNAR2,1
"spiracle morphogenesis, open tracheal system",GO:0035277,COVID-19,MESH:D000086382,,BTK,1
regulation of canonical Wnt signaling pathway,GO:0060828,COVID-19,MESH:D000086382,,BTK,1
positive regulation of neutrophil activation,GO:1902565,COVID-19,MESH:D000086382,,TNF,1
monocyte proliferation,GO:0061516,COVID-19,MESH:D000086382,,BTK,1
myeloid cell development,GO:0061515,COVID-19,MESH:D000086382,,IL6,4
positive regulation of cardiac muscle hypertrophy,GO:0010613,COVID-19,MESH:D000086382,,AGT,1
ectopic germ cell programmed cell death,GO:0035234,COVID-19,MESH:D000086382,,IL1B,1
associative learning,GO:0008306,COVID-19,MESH:D000086382,,AGT,1
sequence-specific DNA binding,GO:0043565,COVID-19,MESH:D000086382,,CRP,1
cellular response to heat,GO:0034605,COVID-19,MESH:D000086382,,CXCL10,1
T follicular helper cell differentiation,GO:0061470,COVID-19,MESH:D000086382,,IL6,4
glial cell migration,GO:0008347,COVID-19,MESH:D000086382,,CCL2,1
social behavior,GO:0035176,COVID-19,MESH:D000086382,,IL1B,1
establishment of skin barrier,GO:0061436,COVID-19,MESH:D000086382,,UGCG,1
operant conditioning,GO:0035106,COVID-19,MESH:D000086382,,AGT,1
positive regulation of protein localization to plasma membrane,GO:1903078,COVID-19,MESH:D000086382,,TNF,1
positive regulation of cardiac muscle cell apoptotic process,GO:0010666,COVID-19,MESH:D000086382,,AGT,1
positive regulation of insulin receptor signaling pathway,GO:0046628,COVID-19,MESH:D000086382,,AGT,1
positive regulation of alpha-beta T cell proliferation,GO:0046641,COVID-19,MESH:D000086382,,CCR2,1
regulation of response to wounding,GO:1903034,COVID-19,MESH:D000086382,,IL10,2
response to arsenic-containing substance,GO:0046685,COVID-19,MESH:D000086382,,IL1B,1
neutrophil clearance,GO:0097350,COVID-19,MESH:D000086382,,CCR2,1
response to mercury ion,GO:0046689,COVID-19,MESH:D000086382,,BSG,1
B cell adhesion,GO:0097323,COVID-19,MESH:D000086382,,CD209,1
decidualization,GO:0046697,COVID-19,MESH:D000086382,,BSG,1
positive regulation of dendritic spine development,GO:0060999,COVID-19,MESH:D000086382,,IL2,1
signaling,GO:0023052,COVID-19,MESH:D000086382,,CCL3,1
positive regulation of membrane hyperpolarization,GO:1902632,COVID-19,MESH:D000086382,,AGT,1
positive regulation of RNA biosynthetic process,GO:1902680,COVID-19,MESH:D000086382,,IL1B,1
fucosyltransferase activity,GO:0008417,COVID-19,MESH:D000086382,,FUT2,1
positive regulation of macrophage derived foam cell differentiation,GO:0010744,COVID-19,MESH:D000086382,,AGT,1
positive regulation of B cell apoptotic process,GO:0002904,COVID-19,MESH:D000086382,,IL10,2
negative regulation of B cell apoptotic process,GO:0002903,COVID-19,MESH:D000086382,,IL2,1
regulation of B cell apoptotic process,GO:0002902,COVID-19,MESH:D000086382,,BTK,1
cellular response to toxic substance,GO:0097237,COVID-19,MESH:D000086382,,TNF,1
negative regulation of macrophage derived foam cell differentiation,GO:0010745,COVID-19,MESH:D000086382,,CRP,1
positive regulation of macrophage chemotaxis,GO:0010759,COVID-19,MESH:D000086382,,CCL2,1
response to muscle activity involved in regulation of muscle adaptation,GO:0014873,COVID-19,MESH:D000086382,,AGT,1
response to inactivity,GO:0014854,COVID-19,MESH:D000086382,,IL10,2
positive regulation of chronic inflammatory response to antigenic stimulus,GO:0002876,COVID-19,MESH:D000086382,,TNF,1
negative regulation of chronic inflammatory response to antigenic stimulus,GO:0002875,COVID-19,MESH:D000086382,,IL10,2
muscle cell cellular homeostasis,GO:0046716,COVID-19,MESH:D000086382,,IL6,4
negative regulation of inflammatory response to antigenic stimulus,GO:0002862,COVID-19,MESH:D000086382,,HCK,1
"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",GO:0008499,COVID-19,MESH:D000086382,,ABO,1
intrinsic apoptotic signaling pathway,GO:0097193,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of extracellular matrix disassembly,GO:0090091,COVID-19,MESH:D000086382,,IL6,4
artery smooth muscle contraction,GO:0014824,COVID-19,MESH:D000086382,,AGT,1
CCR1 chemokine receptor binding,GO:0031726,COVID-19,MESH:D000086382,,CCL3,1
protein autophosphorylation,GO:0046777,COVID-19,MESH:D000086382,,HCK,1
receptor internalization,GO:0031623,COVID-19,MESH:D000086382,,CXCL8,1
virion binding,GO:0046790,COVID-19,MESH:D000086382,,CD209,1
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0014808,COVID-19,MESH:D000086382,,CCL3,1
smooth muscle adaptation,GO:0014805,COVID-19,MESH:D000086382,,IL1B,1
negative regulation of type 2 immune response,GO:0002829,COVID-19,MESH:D000086382,,CCR2,1
regulation of T cell chemotaxis,GO:0010819,COVID-19,MESH:D000086382,,CXCL10,1
positive regulation of T cell chemotaxis,GO:0010820,COVID-19,MESH:D000086382,,CCR2,1
negative regulation of glucose transmembrane transport,GO:0010829,COVID-19,MESH:D000086382,,IL1B,1
endothelial tube morphogenesis,GO:0061154,COVID-19,MESH:D000086382,,BSG,1
innate immune response-activating signaling pathway,GO:0002758,COVID-19,MESH:D000086382,,HCK,1
immune response-activating signaling pathway,GO:0002757,COVID-19,MESH:D000086382,,IL10RB,1
MyD88-dependent toll-like receptor signaling pathway,GO:0002755,COVID-19,MESH:D000086382,,BTK,1
positive regulation of myotube differentiation,GO:0010831,COVID-19,MESH:D000086382,,ATP11A,1
epidermis development,GO:0008544,COVID-19,MESH:D000086382,,UGCG,1
regulation of T cell cytokine production,GO:0002724,COVID-19,MESH:D000086382,,CCR2,1
regulation of B cell cytokine production,GO:0002721,COVID-19,MESH:D000086382,,BTK,1
regulation of transcription from RNA polymerase II promoter in response to stress,GO:0043618,COVID-19,MESH:D000086382,,MUC1,1
receptor-mediated virion attachment to host cell,GO:0046813,COVID-19,MESH:D000086382,,ACE2,15
positive regulation of T cell mediated immunity,GO:0002711,COVID-19,MESH:D000086382,,IL1B,1
regulation of membrane lipid distribution,GO:0097035,COVID-19,MESH:D000086382,,ATP11A,1
positive regulation of protein tyrosine kinase activity,GO:0061098,COVID-19,MESH:D000086382,,AGT,1
regulation of Notch signaling pathway,GO:0008593,COVID-19,MESH:D000086382,,IL10,2
photoreceptor cell morphogenesis,GO:0008594,COVID-19,MESH:D000086382,,BSG,1
cell growth involved in cardiac muscle cell development,GO:0061049,COVID-19,MESH:D000086382,,AGT,1
negative regulation of branching involved in lung morphogenesis,GO:0061048,COVID-19,MESH:D000086382,,TNF,1
negative regulation of vascular wound healing,GO:0061044,COVID-19,MESH:D000086382,,TNF,1
membrane fusion,GO:0061025,COVID-19,MESH:D000086382,,ACE2,15
bone remodeling,GO:0046849,COVID-19,MESH:D000086382,,IL6,4
regulation of transmembrane transporter activity,GO:0022898,COVID-19,MESH:D000086382,,ACE2,15
killing of cells of another organism,GO:0031640,COVID-19,MESH:D000086382,,CXCL10,1
kappa-type opioid receptor binding,GO:0031851,COVID-19,MESH:D000086382,,IL2,1
negative regulation of hormone secretion,GO:0046888,COVID-19,MESH:D000086382,,IL6,4
positive regulation of acute inflammatory response,GO:0002675,COVID-19,MESH:D000086382,,IL6,4
regulation of T cell tolerance induction,GO:0002664,COVID-19,MESH:D000086382,,IL2RA,2
negative regulation of miRNA transcription,GO:1902894,COVID-19,MESH:D000086382,,TNF,1
regulation of immunoglobulin production,GO:0002637,COVID-19,MESH:D000086382,,TNF,1
cAMP-dependent protein kinase regulator activity,GO:0008603,COVID-19,MESH:D000086382,,CXCL10,1
histamine secretion by mast cell,GO:0002553,COVID-19,MESH:D000086382,,BTK,1
macrophage cytokine production,GO:0010934,COVID-19,MESH:D000086382,,IL1B,1
chronic inflammatory response,GO:0002544,COVID-19,MESH:D000086382,,CCL2,1
extrinsic apoptotic signaling pathway via death domain receptors,GO:0008625,COVID-19,MESH:D000086382,,TNF,1
negative regulation of transcription by competitive promoter binding,GO:0010944,COVID-19,MESH:D000086382,,MUC1,1
intrinsic apoptotic signaling pathway in response to DNA damage,GO:0008630,COVID-19,MESH:D000086382,,TNF,1
leukocyte migration involved in immune response,GO:0002522,COVID-19,MESH:D000086382,,HCK,1
dendritic cell antigen processing and presentation,GO:0002468,COVID-19,MESH:D000086382,,CD209,1
neutrophil mediated immunity,GO:0002446,COVID-19,MESH:D000086382,,IL6,4
negative regulation of neuron projection development,GO:0010977,COVID-19,MESH:D000086382,,BCL11A,1
regulation of low-density lipoprotein particle clearance,GO:0010988,COVID-19,MESH:D000086382,,CRP,1
dendritic cell chemotaxis,GO:0002407,COVID-19,MESH:D000086382,,CCR2,1
cellular anatomical entity,GO:0110165,COVID-19,MESH:D000086382,,ACE2,15
response to endoplasmic reticulum stress,GO:0034976,COVID-19,MESH:D000086382,,CXCL8,1
hepatic immune response,GO:0002384,COVID-19,MESH:D000086382,,IL6,4
peptide antigen transport,GO:0046968,COVID-19,MESH:D000086382,,CD209,1
response to caffeine,GO:0031000,COVID-19,MESH:D000086382,,IL6,4
leukocyte activation involved in immune response,GO:0002366,COVID-19,MESH:D000086382,,IL2,1
T cell lineage commitment,GO:0002360,COVID-19,MESH:D000086382,,IL7,1
B cell affinity maturation,GO:0002344,COVID-19,MESH:D000086382,,BTK,1
germinal center B cell differentiation,GO:0002314,COVID-19,MESH:D000086382,,IL6,4
endocrine pancreas development,GO:0031018,COVID-19,MESH:D000086382,,IL6,4
protein heterodimerization activity,GO:0046982,COVID-19,MESH:D000086382,,BCL11A,1
regulation of actin filament organization,GO:0110053,COVID-19,MESH:D000086382,,CSF3,1
neuron projection,GO:0043005,COVID-19,MESH:D000086382,,BSG,1
positive regulation of macrophage activation,GO:0043032,COVID-19,MESH:D000086382,,IL10,2
macrophage activation involved in immune response,GO:0002281,COVID-19,MESH:D000086382,,TNF,1
regulation of programmed cell death,GO:0043067,COVID-19,MESH:D000086382,,CCL3,1
positive regulation of programmed cell death,GO:0043068,COVID-19,MESH:D000086382,,TNF,1
myeloid cell homeostasis,GO:0002262,COVID-19,MESH:D000086382,,IL6,4
platelet alpha granule lumen,GO:0031093,COVID-19,MESH:D000086382,,F8,1
response to hyperoxia,GO:0055093,COVID-19,MESH:D000086382,,CCR2,1
wound healing involved in inflammatory response,GO:0002246,COVID-19,MESH:D000086382,,CCR2,1
animal organ regeneration,GO:0031100,COVID-19,MESH:D000086382,,CCL2,1
negative regulation of myelination,GO:0031642,COVID-19,MESH:D000086382,,TNF,1
death receptor agonist activity,GO:0038177,COVID-19,MESH:D000086382,,TNF,1
angiotensin-activated signaling pathway,GO:0038166,COVID-19,MESH:D000086382,,AGT,1
granulocyte colony-stimulating factor signaling pathway,GO:0038158,COVID-19,MESH:D000086382,,CSF3,1
"phosphatidylinositol-3,4,5-trisphosphate binding",GO:0005547,COVID-19,MESH:D000086382,,BTK,1
manchette,GO:0002177,COVID-19,MESH:D000086382,,LZTFL1,2
fin regeneration,GO:0031101,COVID-19,MESH:D000086382,,IL1B,1
Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038096,COVID-19,MESH:D000086382,,HCK,1
Fc-epsilon receptor signaling pathway,GO:0038095,COVID-19,MESH:D000086382,,BTK,1
peptidyl-tyrosine autophosphorylation,GO:0038083,COVID-19,MESH:D000086382,,BTK,1
"alpha-(1,2)-fucosyltransferase activity",GO:0031127,COVID-19,MESH:D000086382,,FUT2,1
type 2 angiotensin receptor binding,GO:0031703,COVID-19,MESH:D000086382,,AGT,1
positive regulation of receptor internalization,GO:0002092,COVID-19,MESH:D000086382,,SELE,1
regulation of norepinephrine secretion,GO:0014061,COVID-19,MESH:D000086382,,AGT,1
acrosomal membrane,GO:0002080,COVID-19,MESH:D000086382,,BSG,1
negative regulation of glutamate secretion,GO:0014050,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of gliogenesis,GO:0014015,COVID-19,MESH:D000086382,,IL6,4
p53 binding,GO:0002039,COVID-19,MESH:D000086382,,MUC1,1
negative regulation of L-glutamate import across plasma membrane,GO:0002037,COVID-19,MESH:D000086382,,TNF,1
brain renin-angiotensin system,GO:0002035,COVID-19,MESH:D000086382,,AGT,1
maintenance of blood vessel diameter homeostasis by renin-angiotensin,GO:0002034,COVID-19,MESH:D000086382,,AGT,1
surfactant homeostasis,GO:0043129,COVID-19,MESH:D000086382,,OAS1,1
protease binding,GO:0002020,COVID-19,MESH:D000086382,,TNF,1
regulation of renal output by angiotensin,GO:0002019,COVID-19,MESH:D000086382,,AGT,1
renin-angiotensin regulation of aldosterone production,GO:0002018,COVID-19,MESH:D000086382,,AGT,1
regulation of blood volume by renin-angiotensin,GO:0002016,COVID-19,MESH:D000086382,,AGT,1
angiotensin maturation,GO:0002003,COVID-19,MESH:D000086382,,ACE2,15
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043154,COVID-19,MESH:D000086382,,TNF,1
lysosomal lumen,GO:0043202,COVID-19,MESH:D000086382,,CSF3,1
glycosphingolipid binding,GO:0043208,COVID-19,MESH:D000086382,,IL2,1
lipopolysaccharide-mediated signaling pathway,GO:0031663,COVID-19,MESH:D000086382,,HCK,1
focal adhesion,GO:0005925,COVID-19,MESH:D000086382,,HCK,1
transcription cis-regulatory region binding,GO:0000976,COVID-19,MESH:D000086382,,TNF,1
positive regulation of receptor signaling pathway via STAT,GO:1904894,COVID-19,MESH:D000086382,,IL6,4
cellular response to calcium ion,GO:0071277,COVID-19,MESH:D000086382,,CRP,1
regulation of mast cell activation,GO:0033003,COVID-19,MESH:D000086382,,PLSCR1,1
cellular response to nutrient levels,GO:0031669,COVID-19,MESH:D000086382,,IL6,4
negative regulation of nitric oxide biosynthetic process,GO:0045019,COVID-19,MESH:D000086382,,IL10,2
cellular response to organic substance,GO:0071310,COVID-19,MESH:D000086382,,IL1B,1
extrinsic component of cytoplasmic side of plasma membrane,GO:0031234,COVID-19,MESH:D000086382,,HCK,1
cellular response to amino acid stimulus,GO:0071230,COVID-19,MESH:D000086382,,TNF,1
cellular response to molecule of fungal origin,GO:0071226,COVID-19,MESH:D000086382,,BTK,1
cellular response to nicotine,GO:0071316,COVID-19,MESH:D000086382,,TNF,1
clathrin-coated pit,GO:0005905,COVID-19,MESH:D000086382,,SELE,1
cellular response to biotic stimulus,GO:0071216,COVID-19,MESH:D000086382,,IL2,1
negative regulation of neuron remodeling,GO:1904800,COVID-19,MESH:D000086382,,BCL11A,1
cellular response to ATP,GO:0071318,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of branching involved in ureteric bud morphogenesis,GO:0090190,COVID-19,MESH:D000086382,,AGT,1
immature T cell proliferation in thymus,GO:0033080,COVID-19,MESH:D000086382,,IFNAR2,1
anatomical structure development,GO:0048856,COVID-19,MESH:D000086382,,SELE,1
dendrite morphogenesis,GO:0048813,COVID-19,MESH:D000086382,,TMEM106B,1
phosphatidylserine floppase activity,GO:0090556,COVID-19,MESH:D000086382,,ATP11A,1
T-helper 2 cell differentiation,GO:0045064,COVID-19,MESH:D000086382,,IL6,4
positive regulation of immature T cell proliferation in thymus,GO:0033092,COVID-19,MESH:D000086382,,IL1B,1
phosphatidylethanolamine flippase activity,GO:0090555,COVID-19,MESH:D000086382,,ATP11A,1
regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:0045091,COVID-19,MESH:D000086382,,CXCL8,1
cytoskeleton of presynaptic active zone,GO:0048788,COVID-19,MESH:D000086382,,BSG,1
presynaptic active zone,GO:0048786,COVID-19,MESH:D000086382,,BSG,1
positive regulation of leukocyte adhesion to arterial endothelial cell,GO:1904999,COVID-19,MESH:D000086382,,TNF,1
positive regulation of astrocyte differentiation,GO:0048711,COVID-19,MESH:D000086382,,IL1B,1
chromatin,GO:0000785,COVID-19,MESH:D000086382,,MUC1,1
cellular response to lipid,GO:0071396,COVID-19,MESH:D000086382,,IL1B,1
endoplasmic reticulum-Golgi intermediate compartment membrane,GO:0033116,COVID-19,MESH:D000086382,,F8,1
cellular extravasation,GO:0045123,COVID-19,MESH:D000086382,,TNF,1
glutamatergic synapse,GO:0098978,COVID-19,MESH:D000086382,,ICAM5,1
regulation of nitric-oxide synthase activity,GO:0050999,COVID-19,MESH:D000086382,,IL1B,1
cellular response to lipoprotein particle stimulus,GO:0071402,COVID-19,MESH:D000086382,,CCL2,1
negative regulation of protein-containing complex disassembly,GO:0043242,COVID-19,MESH:D000086382,,TNF,1
cellular response to high density lipoprotein particle stimulus,GO:0071403,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of collateral sprouting,GO:0048672,COVID-19,MESH:D000086382,,BCL11A,1
negative regulation of collateral sprouting,GO:0048671,COVID-19,MESH:D000086382,,BCL11A,1
neuron development,GO:0048666,COVID-19,MESH:D000086382,,UGCG,1
interleukin-6 receptor complex,GO:0005896,COVID-19,MESH:D000086382,,IL6,4
interleukin-2 receptor complex,GO:0005893,COVID-19,MESH:D000086382,,IL2RA,2
smooth muscle cell proliferation,GO:0048659,COVID-19,MESH:D000086382,,AGT,1
detection of mechanical stimulus involved in sensory perception of pain,GO:0050966,COVID-19,MESH:D000086382,,TNF,1
negative regulation of muscle organ development,GO:0048635,COVID-19,MESH:D000086382,,IL6,4
induction of positive chemotaxis,GO:0050930,COVID-19,MESH:D000086382,,CXCL8,1
positive regulation of protein-containing complex disassembly,GO:0043243,COVID-19,MESH:D000086382,,TNF,1
response to ATP,GO:0033198,COVID-19,MESH:D000086382,,IL1B,1
germline ring canal,GO:0045172,COVID-19,MESH:D000086382,,BTK,1
apical part of cell,GO:0045177,COVID-19,MESH:D000086382,,BTK,1
intestinal lipid absorption,GO:0098856,COVID-19,MESH:D000086382,,UGCG,1
"regulation of circadian sleep/wake cycle, non-REM sleep",GO:0045188,COVID-19,MESH:D000086382,,IL6,4
cellular response to hypoxia,GO:0071456,COVID-19,MESH:D000086382,,IL7,1
actin filament,GO:0005884,COVID-19,MESH:D000086382,,HCK,1
regulation of isotype switching,GO:0045191,COVID-19,MESH:D000086382,,IL10,2
positive regulation of B cell activation,GO:0050871,COVID-19,MESH:D000086382,,IL6,4
host cell,GO:0043657,COVID-19,MESH:D000086382,,CD209,1
negative regulation of B cell activation,GO:0050869,COVID-19,MESH:D000086382,,BTK,1
B cell receptor signaling pathway,GO:0050853,COVID-19,MESH:D000086382,,BTK,1
T cell receptor signaling pathway,GO:0050852,COVID-19,MESH:D000086382,,BTK,1
tumor necrosis factor-mediated signaling pathway,GO:0033209,COVID-19,MESH:D000086382,,TNF,1
leptin-mediated signaling pathway,GO:0033210,COVID-19,MESH:D000086382,,UGCG,1
sarcomere organization,GO:0045214,COVID-19,MESH:D000086382,,BSG,1
choline binding,GO:0033265,COVID-19,MESH:D000086382,,CRP,1
cell adhesion molecule binding,GO:0050839,COVID-19,MESH:D000086382,,BSG,1
response to dexamethasone,GO:0071548,COVID-19,MESH:D000086382,,IL1B,1
defense response to Gram-negative bacterium,GO:0050829,COVID-19,MESH:D000086382,,IL6,4
lymphocyte costimulation,GO:0031294,COVID-19,MESH:D000086382,,IL6,4
trans-Golgi network,GO:0005802,COVID-19,MESH:D000086382,,ATP11A,1
negative regulation of synaptic transmission,GO:0050805,COVID-19,MESH:D000086382,,IL1B,1
regulation of extracellular matrix assembly,GO:1901201,COVID-19,MESH:D000086382,,AGT,1
positive regulation of extracellular matrix assembly,GO:1901203,COVID-19,MESH:D000086382,,AGT,1
endomembrane system,GO:0012505,COVID-19,MESH:D000086382,,TYK2,1
positive regulation of matrix metallopeptidase secretion,GO:1904466,COVID-19,MESH:D000086382,,BSG,1
postsynapse,GO:0098794,COVID-19,MESH:D000086382,,BCL11A,1
lysosomal transport,GO:0007041,COVID-19,MESH:D000086382,,TMEM106B,1
cellular response to interleukin-7,GO:0098761,COVID-19,MESH:D000086382,,BTK,1
virion attachment to host cell,GO:0019062,COVID-19,MESH:D000086382,,CD209,1
